,Current_Ranking,Player_Name,Team,Position,Games_Played,Minutes_per_Game,Points_per_Game,Field_Goals_Made_per_Game,Field_Goals_Attempted_per_Game,Field_Goals_Percentage_per_Game,3Pointers_Made_per_Game,3Pointers_Attempted_per_Game,3Pointers_Percentage_per_Game,Free_Throws_Made_per_Game,Free_Throws_Attempted_per_Game,Free_Throws_Percentage_per_Game,Rebounds_per_Game,Assists_per_Game,Steals_per_Game,Blocks_per_Game,Turnovers_per_Game,Total_Double_Doubles,Total_Triple_Doubles
11,12,Jaylen Brown,BOS,SG,23,35.9,26.7,9.9,19.7,50.4,2.4,6.8,35.0,4.5,5.4,83.2,7.1,3.7,1.0,0.4,3.1,4,0
12,13,LeBron James,LAL,SF,17,35.4,25.8,10.1,21.6,46.6,2.4,7.3,33.1,3.3,4.6,71.8,9.1,6.4,1.2,0.6,3.4,7,0
13,14,DeMar DeRozan,CHI,SF,23,34.8,25.5,9.0,18.0,50.2,0.4,1.4,31.3,7.0,7.9,88.4,4.4,4.7,0.9,0.4,2.0,0,0
14,15,Anfernee Simons,POR,SG,22,37.1,24.7,8.5,19.2,44.3,4.2,10.6,39.7,3.5,3.9,89.4,3.0,4.5,1.0,0.3,2.2,0,0
15,16,Zion Williamson,NO,PF,18,32.0,23.6,9.1,15.3,59.1,0.2,0.6,27.3,5.3,7.3,72.7,7.1,4.3,1.3,0.6,2.7,4,0
16,17,De'Aaron Fox,SAC,PG,21,31.7,23.1,8.6,16.6,51.6,1.9,5.0,38.1,4.1,5.0,81.9,5.1,5.8,1.1,0.5,2.6,3,0
17,18,Nikola Jokic,DEN,C,21,32.2,23.0,8.6,13.7,63.1,0.8,2.4,32.0,5.0,6.2,80.8,10.0,8.9,1.3,0.6,3.2,15,3
18,18,Anthony Edwards,MIN,SG,23,36.5,23.0,8.3,18.1,46.2,2.6,7.4,34.5,3.7,4.9,76.1,5.6,3.8,1.7,0.4,3.2,1,0
19,20,Jerami Grant,POR,SF,23,36.3,23.0,7.5,15.7,47.5,2.8,6.1,46.1,5.2,6.7,77.8,4.1,2.8,0.8,0.9,1.9,0,0
20,21,Bradley Beal,WSH,SG,18,35.1,22.9,8.7,16.6,52.2,1.7,4.9,35.2,3.8,4.4,87.3,3.7,5.4,1.2,0.6,2.8,0,0
21,22,Lauri Markkanen,UTAH,PF,26,33.9,22.2,8.0,15.1,52.8,2.7,6.4,41.3,3.7,4.4,83.3,8.5,2.2,0.6,0.7,2.2,10,0
22,23,Darius Garland,CLE,PG,19,36.0,22.2,7.5,17.3,43.5,2.7,6.9,39.7,4.4,5.1,86.5,2.2,7.9,1.2,0.2,3.2,6,0
23,24,Zach LaVine,CHI,SG,19,34.3,22.0,7.7,18.3,42.2,2.8,8.1,35.1,3.7,4.5,82.4,4.6,4.2,1.3,0.1,2.2,0,0
24,25,Kristaps Porzingis,WSH,C,23,32.5,21.8,7.3,15.7,46.8,2.1,5.9,35.6,5.0,6.3,79.5,8.8,2.5,0.8,1.5,1.8,8,0
25,26,Paolo Banchero,ORL,PF,18,34.4,21.7,7.3,16.3,44.9,0.9,3.6,24.6,6.2,8.4,73.0,6.8,3.8,0.8,0.6,2.9,4,0
26,27,Jalen Green,HOU,SG,24,34.7,21.6,7.3,17.7,41.5,2.4,7.5,31.8,4.5,5.7,79.6,4.0,4.0,0.8,0.2,3.3,0,0
27,28,Dejounte Murray,ATL,SG,24,36.9,21.5,8.5,18.9,45.2,2.2,6.0,36.6,2.3,2.7,83.1,5.7,6.5,1.8,0.5,2.7,3,1
28,29,Julius Randle,NY,PF,24,33.2,21.1,7.3,15.8,46.1,2.1,6.5,32.5,4.4,5.7,77.9,8.5,3.5,0.7,0.2,2.8,9,0
29,30,Jalen Brunson,NY,PG,24,32.3,21.0,7.5,15.6,48.3,1.4,4.2,34.0,4.5,5.2,87.2,3.4,6.3,1.0,0.2,1.8,2,0
30,31,Bojan Bogdanovic,DET,SF,25,31.6,21.0,7.1,13.6,51.9,2.6,5.8,44.1,4.3,4.9,87.7,3.6,2.6,0.6,0.0,2.3,0,0
31,32,Karl-Anthony Towns,MIN,C,21,33.8,20.8,7.3,14.4,50.5,1.8,5.6,32.5,4.4,5.0,88.5,8.2,5.3,0.8,0.7,3.1,8,0
32,33,Bam Adebayo,MIA,C,23,35.0,20.7,8.0,15.3,52.7,0.0,0.4,11.1,4.6,5.4,85.5,9.2,3.3,1.0,0.8,3.1,10,0
33,34,Kyle Kuzma,WSH,SF,23,34.5,20.6,7.8,17.0,45.9,2.2,7.3,30.5,2.7,3.7,73.8,7.7,3.6,0.4,0.5,2.5,5,0
34,35,Devin Vassell,SA,SG,19,32.5,20.5,7.5,16.4,45.7,3.1,7.4,41.8,2.5,3.1,81.0,4.2,3.6,0.7,0.4,1.6,0,0
35,36,Keldon Johnson,SA,SF,22,32.3,20.4,7.1,18.2,39.3,2.9,8.4,34.6,3.2,4.4,72.9,5.1,3.1,0.9,0.1,2.3,2,0
36,37,Kelly Oubre Jr.,CHA,SG,24,32.3,20.1,7.5,17.4,43.1,2.3,7.3,31.4,2.8,3.9,73.1,5.3,1.3,1.7,0.3,1.1,2,0
37,38,Jordan Clarkson,UTAH,PG,26,32.3,19.7,7.1,16.5,43.2,2.7,7.7,35.0,2.8,3.3,82.8,3.9,4.8,0.3,0.3,2.7,1,0
38,39,Franz Wagner,ORL,SF,25,33.2,19.3,7.2,14.4,49.6,1.3,4.0,32.7,3.6,4.2,86.7,4.1,3.8,0.8,0.2,2.8,0,0
39,40,Andrew Wiggins,GS,SF,22,32.8,19.1,7.4,14.5,51.1,3.0,6.8,45.0,1.2,2.0,62.8,5.1,2.2,1.4,0.8,1.4,2,0
40,40,Tyrese Haliburton,IND,PG,22,33.2,19.1,7.0,15.3,46.1,2.6,7.1,36.9,2.4,2.8,83.9,4.7,10.9,1.8,0.3,2.6,14,0
41,42,O.G. Anunoby,TOR,SF,24,36.5,19.1,7.3,15.0,48.2,1.6,4.6,34.2,3.0,3.6,82.8,5.8,2.2,2.3,0.9,2.6,2,0
42,43,Kevin Porter Jr.,HOU,SG,23,34.7,19.0,6.4,15.4,41.4,2.1,6.0,35.0,4.2,5.5,76.2,5.7,5.8,1.3,0.4,3.9,5,0
43,44,RJ Barrett,NY,SG,24,33.4,18.4,6.4,15.7,40.6,1.5,5.5,28.2,4.1,5.3,77.8,5.4,3.0,0.5,0.1,2.3,1,0
44,45,Bennedict Mathurin,IND,SG,24,28.5,18.3,5.7,13.7,41.6,2.0,5.3,37.5,4.9,6.1,80.1,3.8,1.5,0.6,0.1,1.8,0,0
45,46,Jrue Holiday,MIL,PG,18,32.4,18.3,6.9,15.6,44.6,2.1,6.3,33.6,2.3,2.6,89.1,5.2,7.5,1.6,0.5,3.3,6,0
46,47,Klay Thompson,GS,SG,20,30.4,18.0,6.4,15.8,40.2,3.9,10.0,39.0,1.4,1.7,84.8,3.6,2.5,0.6,0.4,1.6,0,0
47,48,Jamal Murray,DEN,PG,20,29.9,17.6,6.6,15.3,43.3,1.9,5.3,36.2,2.5,3.2,78.1,3.7,5.0,1.0,0.3,2.0,1,0
48,49,Myles Turner,IND,C,18,28.8,17.6,6.2,11.3,54.4,1.6,3.9,39.4,3.7,4.5,81.5,8.1,1.5,0.6,2.4,1.8,7,0
